period,SMALL LoEP,ME1 EP2,SMALL HiEP,BIG LoEP,ME2 EP2,BIG HiEP
200504,-0.02514067953324087,-0.072593596721646,0.024326050814240482,-0.08625133947236208,-0.13112251590844526,-0.010267025756430376
200505,0.08496488289177392,0.057050753737952625,0.0004892415725788134,0.1197847175023156,0.09932575490842221,-0.006913740077929352
200506,-0.03437736160041983,0.03363710289365998,-0.021182434375430978,0.03158469792346005,-0.0020296748432874936,-0.011110346358100754
200507,0.007485187758881049,0.05320967727530865,0.06728848212538475,0.07833074910754582,0.07139765869712324,
200508,-0.06042058517733721,0.008054726105131041,-0.025006466678546717,-0.028850773152840424,-0.1081939699519418,-0.01332144692327103
200509,0.010078445722252341,0.0012418040408673815,0.09253049190998494,0.005072113089093414,-0.007929099872266894,-0.005332169603469453
200510,-0.04291749906196929,-0.07081145016587648,-0.04335973462236981,-0.016261756348601702,-0.01891392382356258,-0.031564378380090324
200511,0.09510696549998969,0.04452736181807781,0.011163,0.036752472727111164,0.01992369603510437,0.03502322774791565
200512,0.0034579671572597843,-0.00037295381052659195,0.01673660858727688,0.009339222481173661,-0.0014307440468766643,0.006374764662607905
200601,0.011238371856095719,0.059485156803398505,0.014088882993041202,0.056424087645315514,0.07380004114437153,-0.0025015383360165394
200602,0.010102343300597921,0.008983838994031655,0.028468419772491534,-0.01439702520304988,0.021499885375416233,0.027855
200603,-0.01341310146422362,0.050996066794577084,0.01490512755759136,0.04591722035296315,0.05196761276802332,-0.013503103614844535
200604,-0.016807216438593987,-0.026403120868590806,0.06211039523815906,0.04303857835237937,-0.001799780318379375,0.016816726175065553
200605,-0.028193461639811027,-0.12244866499696642,-0.036053887833226404,-0.0632437466839548,-0.041324114101654194,
200606,0.01942891523673822,-0.0063435308360883244,-0.0014936495544209429,-0.017284207966176482,-0.01601567885644276,-0.001931562942929628
200607,-0.022028508131666145,-0.03720005417870732,-0.0747937409460385,-0.06852577547398399,-0.05388136852123365,-0.115789
